,Suggestion,Config,Worker,Performance
0,0,"{' active-defrag-threshold-upper': 100, 'active-defrag-cycle-max': 25, 'active-defrag-cycle-min': 1, 'active-defrag-ignore-bytes': '100mb', 'active-defrag-max-scan-fields': 1000, 'active-defrag-threshold-lower': 10, 'activedefrag': 'no', 'activerehashing ': 'yes', 'aof-rewrite-incremental-fsync': 'yes', 'appendonly': 'no', 'auto-aof-rewrite-min-size': '64mb', 'auto-aof-rewrite-percentage': 100, 'dynamic-hz': 'yes', 'hash-max-listpack-entries': 512, 'hash-max-listpack-value': 64, 'hll-sparse-max-bytes': 3000, 'hz': 10, 'io-threads': 4, 'io-threads-do-reads': 'no', 'jemalloc-bg-thread': 'yes', 'lazyfree-lazy-eviction': 'no', 'lazyfree-lazy-expire': 'no', 'lazyfree-lazy-server-del': 'no', 'lazyfree-lazy-user-del': 'no', 'lazyfree-lazy-user-flush': 'no', 'lfu-decay-time': 1, 'lfu-log-factor': 10, 'list-compress-depth': 0, 'list-max-listpack-size': -2, 'maxmemory-policy': 'volatile-lru', 'rdb-save-incremental-fsync': 'yes', 'replica-lazy-flush': 'no', 'set-max-intset-entries': 512, 'set-max-listpack-entries': 128, 'set-max-listpack-value': 64, 'stream-node-max-bytes': 4096, 'stream-node-max-entries': 100, 'zset-max-listpack-entries': 128, 'zset-max-listpack-value': 64}",5,0.5090000033378601
1,1,"{' active-defrag-threshold-upper': 11, 'active-defrag-cycle-max': 54, 'active-defrag-cycle-min': 56, 'active-defrag-ignore-bytes': '8771mb', 'active-defrag-max-scan-fields': 5573, 'active-defrag-threshold-lower': 77, 'activedefrag': 'no', 'activerehashing ': 'no', 'aof-rewrite-incremental-fsync': 'no', 'appendonly': 'yes', 'auto-aof-rewrite-min-size': '781mb', 'auto-aof-rewrite-percentage': 10, 'dynamic-hz': 'no', 'hash-max-listpack-entries': 7461, 'hash-max-listpack-value': 3143, 'hll-sparse-max-bytes': 5248, 'hz': 386, 'io-threads': 42, 'io-threads-do-reads': 'no', 'jemalloc-bg-thread': 'no', 'lazyfree-lazy-eviction': 'yes', 'lazyfree-lazy-expire': 'yes', 'lazyfree-lazy-server-del': 'no', 'lazyfree-lazy-user-del': 'no', 'lazyfree-lazy-user-flush': 'yes', 'lfu-decay-time': 0, 'lfu-log-factor': 17, 'list-compress-depth': 4, 'list-max-listpack-size': -5, 'maxmemory-policy': 'allkeys-lfu', 'rdb-save-incremental-fsync': 'no', 'replica-lazy-flush': 'yes', 'set-max-intset-entries': 6522, 'set-max-listpack-entries': 305, 'set-max-listpack-value': 2867, 'stream-node-max-bytes': 64493, 'stream-node-max-entries': 0, 'zset-max-listpack-entries': 960, 'zset-max-listpack-value': 3410}",5,0.6299999952316284
2,2,"{' active-defrag-threshold-upper': 100, 'active-defrag-cycle-max': 25, 'active-defrag-cycle-min': 1, 'active-defrag-ignore-bytes': '100mb', 'active-defrag-max-scan-fields': 1000, 'active-defrag-threshold-lower': 10, 'activedefrag': 'no', 'activerehashing ': 'yes', 'aof-rewrite-incremental-fsync': 'yes', 'appendonly': 'no', 'auto-aof-rewrite-min-size': '64mb', 'auto-aof-rewrite-percentage': 100, 'dynamic-hz': 'yes', 'hash-max-listpack-entries': 512, 'hash-max-listpack-value': 64, 'hll-sparse-max-bytes': 3000, 'hz': 10, 'io-threads': 4, 'io-threads-do-reads': 'no', 'jemalloc-bg-thread': 'yes', 'lazyfree-lazy-eviction': 'no', 'lazyfree-lazy-expire': 'no', 'lazyfree-lazy-server-del': 'no', 'lazyfree-lazy-user-del': 'no', 'lazyfree-lazy-user-flush': 'no', 'lfu-decay-time': 1, 'lfu-log-factor': 10, 'list-compress-depth': 0, 'list-max-listpack-size': -2, 'maxmemory-policy': 'volatile-lru', 'rdb-save-incremental-fsync': 'yes', 'replica-lazy-flush': 'no', 'set-max-intset-entries': 512, 'set-max-listpack-entries': 128, 'set-max-listpack-value': 64, 'stream-node-max-bytes': 4096, 'stream-node-max-entries': 100, 'zset-max-listpack-entries': 128, 'zset-max-listpack-value': 64}",5,0.4990000128746032
3,3,"{' active-defrag-threshold-upper': 53, 'active-defrag-cycle-max': 39, 'active-defrag-cycle-min': 5, 'active-defrag-ignore-bytes': '729mb', 'active-defrag-max-scan-fields': 4743, 'active-defrag-threshold-lower': 47, 'activedefrag': 'yes', 'activerehashing ': 'yes', 'aof-rewrite-incremental-fsync': 'yes', 'appendonly': 'no', 'auto-aof-rewrite-min-size': '135mb', 'auto-aof-rewrite-percentage': 57, 'dynamic-hz': 'yes', 'hash-max-listpack-entries': 3763, 'hash-max-listpack-value': 1693, 'hll-sparse-max-bytes': 12487, 'hz': 141, 'io-threads': 19, 'io-threads-do-reads': 'yes', 'jemalloc-bg-thread': 'yes', 'lazyfree-lazy-eviction': 'no', 'lazyfree-lazy-expire': 'no', 'lazyfree-lazy-server-del': 'yes', 'lazyfree-lazy-user-del': 'yes', 'lazyfree-lazy-user-flush': 'no', 'lfu-decay-time': 5, 'lfu-log-factor': 61, 'list-compress-depth': 7, 'list-max-listpack-size': -1, 'maxmemory-policy': 'allkeys-random', 'rdb-save-incremental-fsync': 'yes', 'replica-lazy-flush': 'no', 'set-max-intset-entries': 1782, 'set-max-listpack-entries': 845, 'set-max-listpack-value': 1335, 'stream-node-max-bytes': 0, 'stream-node-max-entries': 456, 'zset-max-listpack-entries': 111, 'zset-max-listpack-value': 1594}",5,1000000.0
4,4,"{' active-defrag-threshold-upper': 97, 'active-defrag-cycle-max': 78, 'active-defrag-cycle-min': 95, 'active-defrag-ignore-bytes': '6352mb', 'active-defrag-max-scan-fields': 170, 'active-defrag-threshold-lower': 18, 'activedefrag': 'no', 'activerehashing ': 'yes', 'aof-rewrite-incremental-fsync': 'yes', 'appendonly': 'no', 'auto-aof-rewrite-min-size': '417mb', 'auto-aof-rewrite-percentage': 95, 'dynamic-hz': 'no', 'hash-max-listpack-entries': 5797, 'hash-max-listpack-value': 246, 'hll-sparse-max-bytes': 1958, 'hz': 70, 'io-threads': 51, 'io-threads-do-reads': 'yes', 'jemalloc-bg-thread': 'no', 'lazyfree-lazy-eviction': 'yes', 'lazyfree-lazy-expire': 'no', 'lazyfree-lazy-server-del': 'no', 'lazyfree-lazy-user-del': 'no', 'lazyfree-lazy-user-flush': 'yes', 'lfu-decay-time': 3, 'lfu-log-factor': 45, 'list-compress-depth': 4, 'list-max-listpack-size': -4, 'maxmemory-policy': 'allkeys-lfu', 'rdb-save-incremental-fsync': 'no', 'replica-lazy-flush': 'yes', 'set-max-intset-entries': 5135, 'set-max-listpack-entries': 684, 'set-max-listpack-value': 974, 'stream-node-max-bytes': 7583, 'stream-node-max-entries': 87, 'zset-max-listpack-entries': 605, 'zset-max-listpack-value': 2251}",5,0.5979999899864197
5,5,"{' active-defrag-threshold-upper': 42, 'active-defrag-cycle-max': 13, 'active-defrag-cycle-min': 44, 'active-defrag-ignore-bytes': '3153mb', 'active-defrag-max-scan-fields': 9523, 'active-defrag-threshold-lower': 62, 'activedefrag': 'yes', 'activerehashing ': 'no', 'aof-rewrite-incremental-fsync': 'no', 'appendonly': 'yes', 'auto-aof-rewrite-min-size': '555mb', 'auto-aof-rewrite-percentage': 0, 'dynamic-hz': 'yes', 'hash-max-listpack-entries': 1331, 'hash-max-listpack-value': 2608, 'hll-sparse-max-bytes': 10194, 'hz': 341, 'io-threads': 12, 'io-threads-do-reads': 'no', 'jemalloc-bg-thread': 'yes', 'lazyfree-lazy-eviction': 'no', 'lazyfree-lazy-expire': 'yes', 'lazyfree-lazy-server-del': 'yes', 'lazyfree-lazy-user-del': 'yes', 'lazyfree-lazy-user-flush': 'no', 'lfu-decay-time': 2, 'lfu-log-factor': 77, 'list-compress-depth': 1, 'list-max-listpack-size': -2, 'maxmemory-policy': 'allkeys-lru', 'rdb-save-incremental-fsync': 'yes', 'replica-lazy-flush': 'no', 'set-max-intset-entries': 2947, 'set-max-listpack-entries': 210, 'set-max-listpack-value': 3530, 'stream-node-max-bytes': 42626, 'stream-node-max-entries': 755, 'zset-max-listpack-entries': 398, 'zset-max-listpack-value': 931}",5,1000000.0
6,6,"{' active-defrag-threshold-upper': 30, 'active-defrag-cycle-max': 92, 'active-defrag-cycle-min': 15, 'active-defrag-ignore-bytes': '3766mb', 'active-defrag-max-scan-fields': 8064, 'active-defrag-threshold-lower': 91, 'activedefrag': 'no', 'activerehashing ': 'yes', 'aof-rewrite-incremental-fsync': 'yes', 'appendonly': 'no', 'auto-aof-rewrite-min-size': '287mb', 'auto-aof-rewrite-percentage': 3, 'dynamic-hz': 'no', 'hash-max-listpack-entries': 2621, 'hash-max-listpack-value': 2346, 'hll-sparse-max-bytes': 8272, 'hz': 269, 'io-threads': 7, 'io-threads-do-reads': 'yes', 'jemalloc-bg-thread': 'no', 'lazyfree-lazy-eviction': 'yes', 'lazyfree-lazy-expire': 'yes', 'lazyfree-lazy-server-del': 'no', 'lazyfree-lazy-user-del': 'yes', 'lazyfree-lazy-user-flush': 'no', 'lfu-decay-time': 4, 'lfu-log-factor': 36, 'list-compress-depth': 7, 'list-max-listpack-size': -4, 'maxmemory-policy': 'volatile-lfu', 'rdb-save-incremental-fsync': 'no', 'replica-lazy-flush': 'yes', 'set-max-intset-entries': 3932, 'set-max-listpack-entries': 611, 'set-max-listpack-value': 1988, 'stream-node-max-bytes': 1835, 'stream-node-max-entries': 549, 'zset-max-listpack-entries': 321, 'zset-max-listpack-value': 2987}",5,1.2949999570846558
7,7,"{' active-defrag-threshold-upper': 85, 'active-defrag-cycle-max': 1, 'active-defrag-cycle-min': 64, 'active-defrag-ignore-bytes': '5713mb', 'active-defrag-max-scan-fields': 2263, 'active-defrag-threshold-lower': 35, 'activedefrag': 'yes', 'activerehashing ': 'no', 'aof-rewrite-incremental-fsync': 'no', 'appendonly': 'yes', 'auto-aof-rewrite-min-size': '661mb', 'auto-aof-rewrite-percentage': 81, 'dynamic-hz': 'yes', 'hash-max-listpack-entries': 6571, 'hash-max-listpack-value': 1008, 'hll-sparse-max-bytes': 102, 'hz': 10, 'io-threads': 62, 'io-threads-do-reads': 'no', 'jemalloc-bg-thread': 'yes', 'lazyfree-lazy-eviction': 'no', 'lazyfree-lazy-expire': 'no', 'lazyfree-lazy-server-del': 'yes', 'lazyfree-lazy-user-del': 'no', 'lazyfree-lazy-user-flush': 'yes', 'lfu-decay-time': 2, 'lfu-log-factor': 92, 'list-compress-depth': 2, 'list-max-listpack-size': -2, 'maxmemory-policy': 'volatile-ttl', 'rdb-save-incremental-fsync': 'yes', 'replica-lazy-flush': 'no', 'set-max-intset-entries': 4312, 'set-max-listpack-entries': 31, 'set-max-listpack-value': 2496, 'stream-node-max-bytes': 48393, 'stream-node-max-entries': 0, 'zset-max-listpack-entries': 658, 'zset-max-listpack-value': 195}",5,0.5929999947547913
8,8,"{' active-defrag-threshold-upper': 66, 'active-defrag-cycle-max': 66, 'active-defrag-cycle-min': 36, 'active-defrag-ignore-bytes': '1345mb', 'active-defrag-max-scan-fields': 2699, 'active-defrag-threshold-lower': 0, 'activedefrag': 'no', 'activerehashing ': 'no', 'aof-rewrite-incremental-fsync': 'no', 'appendonly': 'yes', 'auto-aof-rewrite-min-size': '947mb', 'auto-aof-rewrite-percentage': 43, 'dynamic-hz': 'no', 'hash-max-listpack-entries': 445, 'hash-max-listpack-value': 1433, 'hll-sparse-max-bytes': 14402, 'hz': 219, 'io-threads': 32, 'io-threads-do-reads': 'no', 'jemalloc-bg-thread': 'no', 'lazyfree-lazy-eviction': 'yes', 'lazyfree-lazy-expire': 'no', 'lazyfree-lazy-server-del': 'no', 'lazyfree-lazy-user-del': 'yes', 'lazyfree-lazy-user-flush': 'no', 'lfu-decay-time': 0, 'lfu-log-factor': 2, 'list-compress-depth': 1, 'list-max-listpack-size': -3, 'maxmemory-policy': 'volatile-random', 'rdb-save-incremental-fsync': 'no', 'replica-lazy-flush': 'yes', 'set-max-intset-entries': 559, 'set-max-listpack-entries': 512, 'set-max-listpack-value': 3899, 'stream-node-max-bytes': 29286, 'stream-node-max-entries': 991, 'zset-max-listpack-entries': 164, 'zset-max-listpack-value': 3634}",5,0.6110000014305115
9,9,"{' active-defrag-threshold-upper': 24, 'active-defrag-cycle-max': 26, 'active-defrag-cycle-min': 85, 'active-defrag-ignore-bytes': '8139mb', 'active-defrag-max-scan-fields': 7003, 'active-defrag-threshold-lower': 69, 'activedefrag': 'yes', 'activerehashing ': 'yes', 'aof-rewrite-incremental-fsync': 'yes', 'appendonly': 'no', 'auto-aof-rewrite-min-size': '57mb', 'auto-aof-rewrite-percentage': 27, 'dynamic-hz': 'yes', 'hash-max-listpack-entries': 4651, 'hash-max-listpack-value': 3907, 'hll-sparse-max-bytes': 7111, 'hz': 442, 'io-threads': 40, 'io-threads-do-reads': 'yes', 'jemalloc-bg-thread': 'yes', 'lazyfree-lazy-eviction': 'no', 'lazyfree-lazy-expire': 'yes', 'lazyfree-lazy-server-del': 'yes', 'lazyfree-lazy-user-del': 'no', 'lazyfree-lazy-user-flush': 'yes', 'lfu-decay-time': 5, 'lfu-log-factor': 70, 'list-compress-depth': 6, 'list-max-listpack-size': -3, 'maxmemory-policy': 'volatile-lru', 'rdb-save-incremental-fsync': 'yes', 'replica-lazy-flush': 'no', 'set-max-intset-entries': 7587, 'set-max-listpack-entries': 898, 'set-max-listpack-value': 319, 'stream-node-max-bytes': 23363, 'stream-node-max-entries': 332, 'zset-max-listpack-entries': 883, 'zset-max-listpack-value': 1370}",5,0.5929999947547913
