,Suggestion,Config,Worker,Performance
0,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",0,72115.0
1,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",1,68177.0
2,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",2,68792.0
3,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",3,72722.0
4,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",4,101174.0
5,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",9,68851.0
6,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",6,70567.0
7,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",7,63942.0
8,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",8,69890.0
9,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",5,70886.0
